eps1          u            sigma3        sigma3'       sigma1        sigma1'       p             q
[%]          [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa] 

-0.1233      214.4710      399.8040      185.3330      344.8910      130.4200      167.0287      -54.9130
-0.1233      214.6320      399.7660      185.1340      344.8590      130.2270      166.8317      -54.9070
-0.1243      214.8420      399.7940      184.9520      344.7430      129.9010      166.6017      -55.0510
-0.1253      215.0260      399.8860      184.8600      344.6680      129.6420      166.4540      -55.2180
-0.1253      215.2060      399.7850      184.5790      344.6540      129.4480      166.2020      -55.1310
-0.1263      215.4230      399.8410      184.4180      344.5970      129.1740      166.0033      -55.2440
-0.1263      215.5950      399.8580      184.2630      344.5390      128.9440      165.8233      -55.3190
-0.1273      215.7610      399.7580      183.9970      344.4910      128.7300      165.5747      -55.2670
-0.1283      215.9520      399.7480      183.7960      344.4590      128.5070      165.3663      -55.2890
-0.1283      216.1030      399.8040      183.7010      344.3200      128.2170      165.2063      -55.4840
-0.1293      216.2940      399.8310      183.5370      344.2740      127.9800      165.0180      -55.5570
-0.1303      216.4660      399.8580      183.3920      344.2130      127.7470      164.8437      -55.6450
-0.1303      216.6610      399.8580      183.1970      344.1080      127.4470      164.6137      -55.7500
-0.1313      216.8340      399.7580      182.9240      344.0630      127.2290      164.3590      -55.6950
-0.1313      217.0400      399.7950      182.7550      344.0230      126.9830      164.1643      -55.7720
-0.1323      217.2010      399.8400      182.6390      343.9790      126.7780      164.0187      -55.8610
-0.1333      217.3960      399.8030      182.4070      343.9290      126.5330      163.7823      -55.8740
-0.1333      217.5870      399.8310      182.2440      343.8650      126.2780      163.5887      -55.9660
-0.1343      217.7450      399.8670      182.1220      343.7820      126.0370      163.4270      -56.0850
-0.1343      217.9590      399.7950      181.8360      343.6750      125.7160      163.1293      -56.1200
-0.1353      218.1390      399.8680      181.7290      343.6770      125.5380      162.9987      -56.1910
-0.1363      218.2890      399.8210      181.5320      343.6280      125.3390      162.8010      -56.1930
-0.1363      218.4810      399.8310      181.3500      343.5430      125.0620      162.5873      -56.2880
-0.1373      218.6750      399.8120      181.1370      343.4750      124.8000      162.3580      -56.3370
-0.1383      218.8700      399.8310      180.9610      343.3650      124.4950      162.1390      -56.4660
-0.1393      219.0240      399.7940      180.7700      343.4110      124.3870      161.9757      -56.3830
-0.1393      219.2300      399.7850      180.5550      343.3270      124.0970      161.7357      -56.4580
-0.1404      219.4100      399.8120      180.4020      343.3270      123.9170      161.5737      -56.4850
-0.1414      219.6240      399.8410      180.2170      343.2290      123.6050      161.3463      -56.6120
-0.1414      219.7930      399.8500      180.0570      343.1360      123.3430      161.1523      -56.7140
-0.1424      219.9950      399.7850      179.7900      343.1000      123.1050      160.8950      -56.6850
-0.1434      220.1560      399.8030      179.6470      343.0940      122.9380      160.7440      -56.7090
-0.1444      220.3510      399.8400      179.4890      343.0120      122.6610      160.5463      -56.8280
-0.1444      220.5500      399.8590      179.3090      342.9810      122.4310      160.3497      -56.8780
-0.1454      220.7850      399.7940      179.0090      342.9070      122.1220      160.0467      -56.8870
-0.1454      220.9720      399.7480      178.7760      342.9230      121.9510      159.8343      -56.8250
-0.1464      221.1190      399.7940      178.6750      342.9030      121.7840      159.7113      -56.8910
-0.1474      221.3440      399.8310      178.4870      342.8360      121.4920      159.4887      -56.9950
-0.1474      221.5530      399.8860      178.3330      342.8020      121.2490      159.3050      -57.0840
-0.1484      221.6890      399.7570      178.0680      342.7460      121.0570      159.0643      -57.0110
-0.1494      221.9020      399.7660      177.8640      342.7200      120.8180      158.8487      -57.0460
-0.1494      222.0970      399.8130      177.7160      342.6660      120.5690      158.6670      -57.1470
-0.1504      222.2510      399.7940      177.5430      342.5990      120.3480      158.4780      -57.1950
-0.1514      222.4430      399.6940      177.2510      342.6080      120.1650      158.2223      -57.0860
-0.1514      222.6590      399.7480      177.0890      342.5240      119.8650      158.0143      -57.2240
-0.1524      222.8760      399.8670      176.9910      342.5060      119.6300      157.8707      -57.3610
-0.1524      223.0270      399.7760      176.7490      342.4820      119.4550      157.6510      -57.2940
-0.1534      223.2400      399.7480      176.5080      342.4670      119.2270      157.4143      -57.2810
-0.1544      223.4130      399.7670      176.3540      342.4200      119.0070      157.2383      -57.3470
-0.1544      223.5970      399.8310      176.2340      342.4030      118.8060      157.0913      -57.4280
-0.1554      223.7880      399.7760      175.9880      342.3340      118.5460      156.8407      -57.4420
-0.1564      223.9970      399.8490      175.8520      342.3430      118.3460      156.6833      -57.5060
-0.1564      224.1630      399.7580      175.5950      342.2820      118.1190      156.4363      -57.4760
-0.1574      224.3350      399.8580      175.5230      342.1820      117.8470      156.2977      -57.6760
-0.1574      224.5380      399.8310      175.2930      342.1710      117.6330      156.0730      -57.6600
-0.1584      224.7360      399.8310      175.0950      342.1740      117.4380      155.8760      -57.6570
-0.1594      224.9230      399.7480      174.8250      342.2140      117.2910      155.6470      -57.5340
-0.1594      225.1290      399.7940      174.6650      342.1490      117.0200      155.4500      -57.6450
-0.1604      225.3090      399.7390      174.4300      342.0960      116.7870      155.2157      -57.6430
-0.1614      225.4710      399.7850      174.3140      342.0300      116.5590      155.0623      -57.7550
-0.1614      225.6590      399.8500      174.1910      342.0280      116.3690      154.9170      -57.8220
-0.1624      225.8170      399.8220      174.0050      341.9900      116.1730      154.7277      -57.8320
-0.1634      226.0590      399.8770      173.8180      341.9590      115.9000      154.5120      -57.9180
-0.1634      226.2320      399.8590      173.6270      341.9110      115.6790      154.3110      -57.9480
-0.1644      226.4190      399.7110      173.2920      341.9080      115.4890      154.0243      -57.8030
-0.1654      226.6210      399.8210      173.2000      341.8740      115.2530      153.8843      -57.9470
-0.1654      226.8090      399.8680      173.0590      341.8730      115.0640      153.7273      -57.9950
-0.1664      227.0070      399.7850      172.7780      341.8800      114.8730      153.4763      -57.9050
-0.1674      227.1880      399.7490      172.5610      341.8600      114.6720      153.2647      -57.8890
-0.1674      227.3600      399.8030      172.4430      341.8030      114.4430      153.1097      -58.0000
-0.1684      227.5370      399.8040      172.2670      341.7800      114.2430      152.9257      -58.0240
-0.1694      227.7500      399.8400      172.0900      341.7200      113.9700      152.7167      -58.1200
-0.1694      227.8900      399.8500      171.9600      341.7140      113.8240      152.5813      -58.1360
-0.1704      228.0990      399.8220      171.7230      341.7090      113.6100      152.3520      -58.1130
-0.1714      228.2750      399.7940      171.5190      341.6900      113.4150      152.1510      -58.1040
-0.1724      228.4740      399.8490      171.3750      341.6820      113.2080      151.9860      -58.1670
-0.1734      228.6690      399.7670      171.0980      341.6470      112.9780      151.7247      -58.1200
-0.1734      228.8780      399.8580      170.9800      341.6410      112.7630      151.5743      -58.2170
-0.1744      229.0220      399.7860      170.7640      341.6420      112.6200      151.3827      -58.1440
-0.1754      229.2200      399.7120      170.4920      341.6080      112.3880      151.1240      -58.1040
-0.1754      229.3780      399.8400      170.4620      341.5920      112.2140      151.0460      -58.2480
-0.1764      229.5770      399.7860      170.2090      341.5730      111.9960      150.8047      -58.2130
-0.1774      229.7750      399.7120      169.9370      341.5470      111.7720      150.5487      -58.1650
-0.1774      229.9550      399.8490      169.8940      341.4750      111.5200      150.4360      -58.3740
-0.1784      230.1420      399.7750      169.6330      341.5320      111.3900      150.2187      -58.2430
-0.1794      230.3340      399.7670      169.4330      341.4970      111.1630      150.0097      -58.2700
-0.1794      230.5100      399.7390      169.2290      341.5120      111.0020      149.8200      -58.2270
-0.1805      230.6790      399.7390      169.0600      341.4920      110.8130      149.6443      -58.2470
-0.1815      230.8670      399.7580      168.8910      341.4420      110.5750      149.4523      -58.3160
-0.1815      231.0830      399.8310      168.7480      341.4470      110.3640      149.2867      -58.3840
-0.1825      231.2080      399.7480      168.5400      341.3980      110.1900      149.0900      -58.3500
-0.1835      231.4070      399.7760      168.3690      341.4200      110.0130      148.9170      -58.3560
-0.1835      231.6160      399.7200      168.1040      341.3740      109.7580      148.6553      -58.3460
-0.1845      231.7600      399.7390      167.9790      341.3470      109.5870      148.5150      -58.3920
-0.1845      231.9690      399.8860      167.9170      341.3140      109.3450      148.3930      -58.5720
-0.1855      232.1600      399.7570      167.5970      341.3330      109.1730      148.1223      -58.4240
-0.1865      232.3440      399.8490      167.5050      341.3530      109.0090      148.0063      -58.4960
-0.1865      232.5090      399.8120      167.3030      341.3360      108.8270      147.8110      -58.4760
-0.1875      232.7300      399.7670      167.0370      341.3490      108.6190      147.5643      -58.4180
-0.1885      232.8950      399.7850      166.8900      341.3010      108.4060      147.3953      -58.4840
-0.1895      233.0390      399.7670      166.7280      341.3180      108.2790      147.2450      -58.4490
-0.1895      233.2300      399.8500      166.6200      341.2570      108.0270      147.0890      -58.5930
-0.1905      233.3990      399.8590      166.4600      341.2730      107.8740      146.9313      -58.5860
-0.1905      233.5860      399.8950      166.3090      341.2250      107.6390      146.7523      -58.6700
-0.1915      233.7740      399.7940      166.0200      341.2410      107.4670      146.5023      -58.5530
-0.1925      233.9690      399.7580      165.7890      341.2390      107.2700      146.2827      -58.5190
-0.1925      234.1600      399.8130      165.6530      341.2580      107.0980      146.1347      -58.5550
-0.1935      234.3210      399.8120      165.4910      341.2490      106.9280      145.9700      -58.5630
-0.1945      234.4980      399.7850      165.2870      341.2490      106.7510      145.7750      -58.5360
-0.1945      234.6930      399.7490      165.0560      341.2560      106.5630      145.5583      -58.4930
-0.1955      234.8580      399.8130      164.9550      341.1730      106.3150      145.4083      -58.6400
-0.1965      235.0230      399.8210      164.7980      341.1690      106.1460      145.2473      -58.6520
-0.1965      235.2180      399.7760      164.5580      341.1860      105.9680      145.0280      -58.5900
-0.1975      235.3870      399.8120      164.4250      341.1490      105.7620      144.8707      -58.6630
-0.1985      235.5670      399.7850      164.2180      341.1520      105.5850      144.6737      -58.6330
-0.1985      235.7440      399.7760      164.0320      341.1550      105.4110      144.4917      -58.6210
-0.1995      235.9390      399.8500      163.9110      341.1640      105.2250      144.3490      -58.6860
-0.2005      236.1110      399.7210      163.6100      341.1760      105.0650      144.0950      -58.5450
-0.2005      236.3170      399.8130      163.4960      341.1700      104.8530      143.9483      -58.6430
-0.2015      236.4720      399.8130      163.3410      341.1850      104.7130      143.7983      -58.6280
-0.2025      236.6440      399.8310      163.1870      341.1030      104.4590      143.6110      -58.7280
-0.2025      236.8240      399.8120      162.9880      341.1420      104.3180      143.4313      -58.6700
-0.2035      237.0120      399.8220      162.8100      341.1170      104.1050      143.2417      -58.7050
-0.2045      237.1740      399.8220      162.6480      341.1390      103.9650      143.0870      -58.6830
-0.2045      237.3650      399.8130      162.4480      341.1530      103.7880      142.8947      -58.6600
-0.2055      237.5010      399.8130      162.3120      341.1450      103.6440      142.7560      -58.6680
-0.2065      237.6990      399.7940      162.0950      341.1640      103.4650      142.5517      -58.6300
-0.2065      237.8980      399.8410      161.9430      341.1700      103.2720      142.3860      -58.6710
-0.2075      238.0590      399.7940      161.7350      341.1590      103.1000      142.1900      -58.6350
-0.2075      238.2610      399.7660      161.5050      341.1890      102.9280      141.9793      -58.5770
-0.2085      238.4270      399.8400      161.4130      341.1500      102.7230      141.8497      -58.6900
-0.2095      238.5960      399.7670      161.1710      341.1580      102.5620      141.6347      -58.6090
