eps1         u            sigma3       sigma3'       sigma1        sigma1'       p             q
[%]         [kPa]         [kPa]        [kPa]         [kPa]         [kPa]         [kPa]         [kPa] 

0.1855      249.0510      299.7923      50.7413      350.2460      101.1950      67.5592      50.4537
0.1865      249.1610      299.7920      50.6310      350.3100      101.1490      67.4703      50.5180
0.1865      249.2640      299.9115      50.6475      350.2760      101.0120      67.4357      50.3645
0.1875      249.3150      299.8651      50.5501      350.2960      100.9810      67.3604      50.4309
0.1885      249.3960      299.8744      50.4784      350.3310      100.9350      67.2973      50.4566
0.1885      249.4620      299.8742      50.4122      350.4390      100.9770      67.2671      50.5648
0.1895      249.5510      299.8934      50.3424      350.4720      100.9210      67.2019      50.5786
0.1895      249.6090      299.8375      50.2285      350.5310      100.9220      67.1263      50.6935
0.1905      249.6720      299.8472      50.1752      350.5470      100.8750      67.0751      50.6998
0.1915      249.7970      299.8289      50.0319      350.5510      100.7540      66.9393      50.7221
0.1915      249.8450      299.8566      50.0116      350.6400      100.7950      66.9394      50.7834
0.1925      249.9360      299.8282      49.8922      350.6840      100.7480      66.8441      50.8558
0.1935      250.0210      299.8929      49.8719      350.6660      100.6450      66.7963      50.7731
0.1935      250.0650      299.8561      49.7911      350.7140      100.6490      66.7437      50.8579
0.1945      250.1790      299.7919      49.6129      350.7430      100.5640      66.5966      50.9511
0.1955      250.2340      299.9020      49.6680      350.7790      100.5450      66.6270      50.8770
0.1955      250.3040      299.8838      49.5798      350.8560      100.5520      66.5705      50.9722
0.1965      250.3960      299.8196      49.4236      350.8740      100.4780      66.4417      51.0544
0.1975      250.4580      299.9293      49.4713      350.9170      100.4590      66.4672      50.9877
0.1975      250.5210      299.8472      49.3262      350.9580      100.4370      66.3631      51.1108
0.1985      250.6090      299.8287      49.2197      351.0420      100.4330      66.2908      51.2133
0.1995      250.6720      299.8659      49.1939      351.0300      100.3580      66.2486      51.1641
0.1995      250.7600      299.9116      49.1516      351.0410      100.2810      66.1947      51.1294
0.2005      250.7970      299.8200      49.0230      351.0870      100.2900      66.1120      51.2670
0.2015      250.9030      299.8194      48.9164      351.1040      100.2010      66.0113      51.2846
0.2015      250.9330      299.8843      48.9513      351.1520      100.2190      66.0405      51.2677
0.2025      251.0610      299.8286      48.7676      351.2220      100.1610      65.8987      51.3934
0.2035      251.1160      299.8835      48.7675      351.2630      100.1470      65.8940      51.3795
0.2045      251.2120      299.8656      48.6536      351.2820      100.0700      65.7924      51.4164
0.2045      251.2780      299.8379      48.5599      351.2950      100.0170      65.7123      51.4571
0.2055      251.3180      299.8925      48.5745      351.3470      100.0290      65.7260      51.4545
0.2065      251.4180      299.8382      48.4202      351.3963      99.9783      65.6062      51.5581
0.2065      251.4690      299.8745      48.4055      351.3586      99.8896      65.5669      51.4841
0.2075      251.5320      299.8842      48.3522      351.4036      99.8716      65.5253      51.5194
0.2075      251.6380      299.9204      48.2824      351.3874      99.7494      65.4381      51.4670
0.2085      251.6490      299.7550      48.1060      351.5191      99.8701      65.3607      51.7641
0.2095      251.7410      299.8286      48.0876      351.5020      99.7610      65.3121      51.6734
0.2105      251.7960      299.8928      48.0968      351.5449      99.7489      65.3142      51.6521
0.2105      251.8840      299.8834      47.9994      351.5796      99.6956      65.2315      51.6962
0.2115      251.9400      299.8108      47.8708      351.6110      99.6710      65.1375      51.8002
0.2124      252.0240      299.8010      47.7770      351.6742      99.6502      65.0681      51.8732
0.2124      252.0350      299.8377      47.8027      351.7276      99.6926      65.0993      51.8899
0.2134      252.1230      299.8100      47.6870      351.7222      99.5992      64.9911      51.9122
0.2144      252.2010      299.8384      47.6374      351.7415      99.5405      64.9384      51.9031
0.2144      252.2810      299.8007      47.5197      351.7928      99.5118      64.8504      51.9921
0.2154      252.3550      299.8105      47.4555      351.8196      99.4646      64.7919      52.0091
0.2164      252.4390      299.8650      47.4260      351.8572      99.4182      64.7567      51.9922
