eps1          u            sigma3        sigma3'       sigma1       sigma1'       p             q
[%]          [kPa]         [kPa]         [kPa]         [kPa]        [kPa]         [kPa]         [kPa] 

-0.1280      212.2470      300.4443      88.1973      267.4848      55.2378      77.2108      -32.9595
-0.1290      212.3720      300.4535      88.0815      267.4970      55.1250      77.0960      -32.9565
-0.1290      212.4860      300.4719      87.9859      267.5362      55.0502      77.0073      -32.9357
-0.1300      212.5630      300.5268      87.9638      267.4872      54.9242      76.9506      -33.0396
-0.1310      212.6510      300.3797      87.7287      267.4362      54.7852      76.7475      -32.9435
-0.1310      212.7800      300.5637      87.7837      267.4825      54.7025      76.7566      -33.0812
-0.1320      212.8280      300.4538      87.6258      267.4853      54.6573      76.6363      -32.9685
-0.1330      212.9790      300.4541      87.4751      267.4020      54.4230      76.4577      -33.0521
-0.1340      213.0410      300.5638      87.5228      267.3695      54.3285      76.4580      -33.1943
-0.1340      213.1480      300.5091      87.3611      267.4435      54.2955      76.3392      -33.0656
-0.1350      213.2730      300.4908      87.2178      267.3931      54.1201      76.1852      -33.0977
-0.1360      213.3540      300.5185      87.1645      267.3795      54.0255      76.1182      -33.1390
-0.1360      213.4340      300.4901      87.0561      267.4138      53.9798      76.0307      -33.0763
-0.1370      213.5560      300.4724      86.9164      267.4074      53.8514      75.8947      -33.0650
-0.1370      213.6590      300.4817      86.8227      267.3909      53.7319      75.7924      -33.0908
-0.1380      213.7430      300.4719      86.7289      267.4174      53.6744      75.7107      -33.0545
-0.1390      213.8420      300.4442      86.6022      267.4481      53.6061      75.6035      -32.9961
-0.1400      213.9490      300.4171      86.4681      267.4255      53.4765      75.4709      -32.9916
-0.1400      214.0480      300.4444      86.3964      267.3504      53.3024      75.3651      -33.0940
-0.1410      214.1290      300.4904      86.3614      267.3401      53.2111      75.3113      -33.1503
-0.1420      214.2430      300.4813      86.2383      267.3851      53.1421      75.2062      -33.0962
-0.1420      214.3310      300.5454      86.2144      267.3852      53.0542      75.1610      -33.1602
-0.1430      214.4780      300.5546      86.0766      267.3537      52.8757      75.0096      -33.2009
-0.1430      214.5550      300.5177      85.9627      267.3402      52.7852      74.9035      -33.1775
-0.1440      214.6470      300.4902      85.8432      267.2915      52.6445      74.7770      -33.1987
-0.1450      214.7130      300.4717      85.7587      267.3241      52.6111      74.7095      -33.1476
-0.1450      214.8130      300.5643      85.7513      267.3660      52.5530      74.6852      -33.1983
-0.1460      214.9270      300.4725      85.5455      267.3715      52.4445      74.5118      -33.1010
-0.1460      215.0000      300.4536      85.4536      267.3100      52.3100      74.4057      -33.1436
-0.1470      215.1100      300.5452      85.4352      267.3000      52.1900      74.3535      -33.2452
-0.1480      215.1990      300.4909      85.2919      267.3199      52.1209      74.2349      -33.1710
-0.1480      215.3090      300.5090      85.2000      267.2719      51.9629      74.1210      -33.2371
-0.1490      215.4150      300.4625      85.0475      267.3898      51.9748      74.0233      -33.0727
-0.1500      215.4960      300.4902      84.9942      267.2930      51.7970      73.9285      -33.1972
-0.1500      215.6060      300.5083      84.9023      267.3647      51.7587      73.8544      -33.1436
-0.1510      215.6800      300.5088      84.8288      267.2274      51.5474      73.7350      -33.2814
-0.1510      215.7830      300.5548      84.7718      267.3005      51.5175      73.6870      -33.2543
-0.1520      215.8450      300.5267      84.6817      267.2480      51.4030      73.5888      -33.2787
-0.1520      215.9780      300.4172      84.4392      267.3417      51.3637      73.4140      -33.0755
-0.1530      216.0440      300.4538      84.4098      267.2895      51.2455      73.3550      -33.1643
-0.1540      216.1390      300.5176      84.3786      267.2853      51.1463      73.3012      -33.2323
-0.1540      216.2240      300.5088      84.2848      267.3168      51.0928      73.2208      -33.1920
-0.1550      216.3340      300.4259      84.0919      267.2981      50.9641      73.0493      -33.1278
-0.1560      216.4480      300.4811      84.0331      267.2533      50.8053      72.9572      -33.2278
-0.1560      216.5110      300.4908      83.9798      267.2336      50.7226      72.8941      -33.2572
-0.1570      216.5800      300.4899      83.9099      267.2470      50.6670      72.8289      -33.2429
-0.1580      216.7020      300.5090      83.8070      267.2287      50.5267      72.7136      -33.2803
-0.1580      216.7720      300.5459      83.7739      267.2280      50.4560      72.6679      -33.3179
-0.1590      216.8560      300.5179      83.6619      267.2114      50.3554      72.5597      -33.3065
-0.1590      216.9850      300.5090      83.5240      267.2393      50.2543      72.4341      -33.2697
-0.1600      217.0330      300.5185      83.4855      267.2371      50.2041      72.3917      -33.2814
-0.1610      217.1460      300.5542      83.4082      267.2276      50.0816      72.2993      -33.3266
-0.1610      217.2570      300.4632      83.2062      267.2847      50.0277      72.1467      -33.1785
-0.1620      217.3270      300.5552      83.2282      267.2642      49.9372      72.1312      -33.2910
-0.1630      217.4260      300.4355      83.0095      267.3587      49.9327      71.9839      -33.0768
-0.1630      217.5250      300.4812      82.9562      267.2255      49.7005      71.8710      -33.2557
-0.1640      217.5990      300.5092      82.9102      267.2449      49.6459      71.8221      -33.2643
-0.1650      217.6610      300.4996      82.8386      267.2676      49.6066      71.7613      -33.2320
-0.1660      217.7750      300.5272      82.7522      267.2143      49.4393      71.6479      -33.3129
-0.1660      217.8600      300.5276      82.6676      267.2653      49.4053      71.5802      -33.2623
-0.1670      217.9920      300.4447      82.4527      267.2287      49.2367      71.3807      -33.2160
-0.1680      218.0540      300.5177      82.4637      267.2731      49.2191      71.3822      -33.2446
-0.1680      218.1680      300.4626      82.2946      267.2853      49.1173      71.2355      -33.1773
-0.1690      218.2380      300.4996      82.2616      267.2119      48.9739      71.1657      -33.2877
-0.1690      218.3340      300.4816      82.1476      267.2888      48.9548      71.0833      -33.1928
-0.1700      218.4140      300.4992      82.0852      267.1966      48.7826      70.9843      -33.3026
-0.1710      218.5100      300.5454      82.0354      267.2120      48.7020      70.9243      -33.3334
