eps1         u            sigma3        sigma3'       sigma1        sigma1'       p             q
[%]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa] 

0.1928      285.3220      400.1110      114.7890      516.2750      230.9530      153.5103      116.1640
0.1938      285.4390      400.2110      114.7720      516.3990      230.9600      153.5013      116.1880
0.1948      285.5790      400.1650      114.5860      516.6070      231.0280      153.4000      116.4420
0.1958      285.7370      400.2660      114.5290      516.7850      231.0480      153.3687      116.5190
0.1958      285.8620      400.2480      114.3860      516.9210      231.0590      153.2770      116.6730
0.1968      286.0020      400.2300      114.2280      517.0560      231.0540      153.1700      116.8260
0.1968      286.1230      400.1840      114.0610      517.1820      231.0590      153.0603      116.9980
0.1978      286.2880      400.1650      113.8770      517.3810      231.0930      152.9490      117.2160
0.1988      286.4240      400.2750      113.8510      517.5500      231.1260      152.9427      117.2750
0.1988      286.5380      400.2480      113.7100      517.6830      231.1450      152.8550      117.4350
0.1998      286.6960      400.2290      113.5330      517.8070      231.1110      152.7257      117.5780
0.2008      286.8100      400.2480      113.4380      517.9090      231.0990      152.6583      117.6610
0.2018      286.9240      400.2110      113.2870      518.1970      231.2730      152.6157      117.9860
0.2018      287.0310      400.1560      113.1250      518.3690      231.3380      152.5293      118.2130
0.2028      287.1890      400.1470      112.9580      518.4980      231.3090      152.4083      118.3510
0.2038      287.3170      400.2110      112.8940      518.6190      231.3020      152.3633      118.4080
0.2038      287.4500      400.2390      112.7890      518.7130      231.2630      152.2803      118.4740
0.2048      287.5780      400.1830      112.6050      518.9550      231.3770      152.1957      118.7720
0.2058      287.7250      400.2110      112.4860      519.1260      231.4010      152.1243      118.9150
0.2058      287.8650      400.1930      112.3280      519.2690      231.4040      152.0200      119.0760
0.2068      287.9900      400.2480      112.2580      519.3990      231.4090      151.9750      119.1510
0.2078      288.1040      400.2210      112.1170      519.5250      231.4210      151.8850      119.3040
0.2078      288.2250      400.1930      111.9680      519.7370      231.5120      151.8160      119.5440
0.2088      288.3650      400.2390      111.8740      519.9080      231.5430      151.7637      119.6690
0.2098      288.4750      400.2200      111.7450      520.0250      231.5500      151.6800      119.8050
0.2098      288.6590      400.1930      111.5340      520.1450      231.4860      151.5180      119.9520
0.2108      288.7250      400.1650      111.4400      520.2090      231.4840      151.4547      120.0440
0.2118      288.8720      400.1560      111.2840      520.4420      231.5700      151.3793      120.2860
0.2118      288.9640      400.2480      111.2840      520.6340      231.6700      151.4127      120.3860
